Country,Year,Area Code (M49)_x,Element Code_x,Year Code_x,Value_x,Area Code (M49)_y,Element Code_y,Item Code,Year Code_y,Value_y,Magnitude,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,Total Affected,Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Current_account_balance_pct_of_GDP,External_debt_stocks_pct_of_GNI,Foreign_direct_investment_net_inflows_pct_of_GDP
Afghanistan,2022.0,4.0,5410.619791666667,2022.0,532417.5165104166,4.0,529.6,3010.0,2022.0,24187355.8,1.4,5.125,17.375,2022.0,5.375,13.375,166.875,414.0,76700.25,79426.75,0.0,0.0,93.29460735,-15.7183027911684,23.3368489769108,0.144466946606861
Afghanistan,2023.0,4.0,5401.585227272727,2023.0,574621.4073295455,4.0,529.6,3010.0,2023.0,24711745.2,-2.466666666666667,6.0,12.5,2023.0,6.0,15.166666666666666,448.0,1584.8333333333333,115127.5,116712.33333333333,0.0,0.0,97.13499264,-15.7183027911684,19.7980988255309,0.144466946606861
Argentina,2000.0,32.0,5410.299401197605,2000.0,949194.5049700597,32.0,529.6,3010.0,2000.0,22297084.0,2574.5,8.625,12.375,2000.0,8.625,14.25,4.625,5.0,3787.5,4821.25,37500.0,68312.0,54.89515197,-3.15992237703676,54.2417099417586,3.66579059535379
Argentina,2001.0,32.0,5410.299401197605,2001.0,947048.1858982035,32.0,529.6,3010.0,2001.0,22544232.0,710.2857142857143,5.714285714285714,5.285714285714286,2001.0,6.0,5.285714285714286,5.0,21.428571428571427,36400.0,36707.142857142855,109285.71428571429,193609.14285714287,56.44657635,-1.40694788500181,58.4932935172091,0.806164134759348
Argentina,2002.0,32.0,5410.299401197605,2002.0,950714.9463173653,32.0,529.6,3010.0,2002.0,22789613.6,1.5,8.0,15.5,2002.0,8.25,13.0,1.75,6.75,2925.0,2981.75,0.0,0.0,57.34184015,8.97078467784247,159.890183546743,2.19895819502207
Argentina,2003.0,32.0,5410.299401197605,2003.0,998676.495,32.0,529.6,3010.0,2003.0,23031588.6,50700.0,5.75,12.25,2003.0,6.75,8.25,9.75,0.0,35975.0,40975.0,287052.5,489486.75,58.64355298,6.37990680177011,133.474955613907,1.29481086883944
Argentina,2004.0,32.0,5410.299401197605,2004.0,1023556.4214371258,32.0,529.6,3010.0,2004.0,23272105.4,1073.0,8.666666666666666,2.3333333333333335,2004.0,8.666666666666666,3.6666666666666665,3.3333333333333335,2.3333333333333335,2100.0,2102.3333333333335,0.0,0.0,60.21357973,1.95058324319273,114.783966038451,2.5050175164097
Argentina,2005.0,32.0,5410.57057057057,2005.0,1113152.0202102102,32.0,529.6,3010.0,2005.0,23515813.4,90.0,1.0,30.0,2005.0,1.0,30.0,11.0,52.0,0.0,252.0,0.0,0.0,62.25647853,2.65363142179073,74.2469415660219,2.64935441452167
Argentina,2006.0,32.0,5410.57057057057,2006.0,1102112.1475975974,32.0,529.6,3010.0,2006.0,23760624.2,0.0,3.0,0.0,2006.0,4.0,0.0,0.0,0.0,4500.0,4500.0,0.0,0.0,64.26483222,2.79449564264943,52.8779757006235,2.38106854489628
Argentina,2007.0,32.0,5410.57057057057,2007.0,1175765.1382282283,32.0,529.6,3010.0,2007.0,24000750.0,173998.73333333334,3.0,12.666666666666666,2007.0,4.666666666666667,15.333333333333334,6.333333333333333,0.0,43333.333333333336,45000.0,13333.333333333334,20172.0,66.09810297,2.1036160391819,43.1501917496034,2.25129423568361
Argentina,2008.0,32.0,5410.57057057057,2008.0,1189112.1912612612,32.0,529.6,3010.0,2008.0,24246137.0,44060.0,3.0,17.5,2008.0,4.0,18.5,0.0,0.0,42500.0,42500.0,0.0,0.0,68.63567228,1.49940141614234,36.7970755463574,2.68990096507093
Argentina,2009.0,32.0,5410.57057057057,2009.0,1079988.8097297298,32.0,529.6,3010.0,2009.0,24501813.6,69166.66666666667,6.333333333333333,10.0,2009.0,6.333333333333333,11.5,4.833333333333333,4.0,11249.0,11253.0,2500.0,3655.5,68.39164268,2.1785669619099,41.4244681423918,1.20643922647566
Argentina,2010.0,32.0,5410.868263473054,2010.0,1096128.9813772454,32.0,529.6,3010.0,2010.0,24760255.4,0.0,7.0,0.0,2010.0,7.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,69.51329329,-0.383118699737133,30.9493567310993,2.67516171886537
Argentina,2011.0,32.0,5410.868263473054,2011.0,1132237.262724551,32.0,529.6,3010.0,2011.0,25023639.8,0.0,6.0,4.0,2011.0,6.0,17.0,0.0,0.0,3000.0,3000.0,104000.0,145033.0,71.70772361,-1.00728084144866,27.7443463568229,2.04465997872008
Argentina,2012.0,32.0,5410.5970149253735,2012.0,1094873.9476716416,32.0,529.6,3010.0,2012.0,25284036.4,125824.0,8.333333333333334,17.666666666666668,2012.0,8.666666666666666,13.0,8.333333333333334,10.0,5833.333333333333,6510.0,4000.0,5465.333333333333,73.19159161,-0.39159512386959,26.2398392717053,2.80667189982932
Argentina,2013.0,32.0,5410.5970149253735,2013.0,1169015.964955224,32.0,529.6,3010.0,2013.0,25540967.0,9067.7,8.0,2.0,2013.0,8.0,5.0,28.0,6.0,175000.0,175006.0,651000.0,876605.5,74.26372907,-2.37749566620574,27.809883508059,1.77920553648531
Argentina,2014.0,32.0,5410.892857142857,2014.0,1170219.8673511904,32.0,529.6,3010.0,2014.0,25805931.8,17469.195,5.25,15.75,2014.0,5.5,16.75,6.75,0.0,1888.25,1888.25,15500.0,20538.5,75.46845568,-1.74400211981355,30.3338678915012,0.962406650325519
Argentina,2015.0,32.0,5410.892857142857,2015.0,1222933.943422619,32.0,529.6,3010.0,2015.0,26074357.8,26770.6,5.8,13.6,2015.2,3.6,15.0,3.8,0.0,29126.6,29126.6,3440.0,4552.8,75.55797677,-2.96292666513534,32.2082949986265,1.97713461784426
Argentina,2016.0,32.0,5410.941176470588,2016.0,1202954.1564705882,32.0,529.6,3010.0,2016.0,26329611.4,0.0,8.0,14.5,2016.0,8.0,20.5,0.0,0.0,42884.5,42884.5,501000.0,654806.0,76.5112162,-2.70922168361454,35.1613251074643,0.584748941173009
Argentina,2017.0,32.0,5410.976608187135,2017.0,1254943.5744736842,32.0,529.6,3010.0,2017.0,26569765.8,6844.2575,3.25,17.75,2017.0,3.75,13.0,0.25,0.0,13610.75,13610.75,0.0,0.0,78.14100176,-4.83995921807391,37.7365221801036,1.78936504083807
Argentina,2018.0,32.0,5410.976608187135,2018.0,1203654.3936842105,32.0,529.6,3010.0,2018.0,26799725.6,46950.528000000006,3.6,18.2,2018.0,4.2,16.4,0.4,0.0,12924.0,12924.0,680000.0,849473.4,80.04959626,-5.16055257152295,58.6307152401281,2.23253157689253
Argentina,2019.0,32.0,5410.68804664723,2019.0,1306152.3953644314,32.0,529.6,3010.0,2019.0,27009742.4,0.0,2.5,11.0,2019.5,5.5,15.0,3.5,8.0,17587.75,17595.75,0.0,0.0,81.50030941,-0.779998447561848,69.5902998339522,1.48500687570697
Argentina,2020.0,32.0,5410.68804664723,2020.0,1293920.1670262392,32.0,529.6,3010.0,2020.0,27178865.4,0.0,1.5,13.0,2020.0,1.5,17.5,1.5,0.0,1625.0,1625.0,5000.0,6060.0,82.50568385,0.696935361136031,73.3926445591354,1.26616924308721
Argentina,2021.0,32.0,5410.68804664723,2021.0,1275039.7837026238,32.0,529.6,3010.0,2021.0,27307797.6,2.1333333333333333,2.3333333333333335,9.0,2021.0,2.3333333333333335,10.333333333333334,5.0,7.0,1030.0,1037.0,0.0,0.0,86.38165694000001,1.36154422203441,55.9476971135758,1.36838083162438
Argentina,2022.0,32.0,5410.68804664723,2022.0,1284041.793702624,32.0,529.6,3010.0,2022.0,27425816.2,0.0,1.0,0.0,2022.0,3.0,11.0,0.0,0.0,124085.0,124085.0,770000.0,825342.0,93.29460735,-0.640820188045601,42.9676924073569,2.402155349277
Argentina,2023.0,32.0,5401.169329073482,2023.0,1212598.3025239618,32.0,529.6,3010.0,2023.0,27556764.2,37.5,9.0,13.25,2023.0,9.5,12.5,3.25,5.0,13200.0,13205.0,31250.0,32171.75,97.13499264,-3.24351254822954,42.0664911888795,3.69401868015696
Australia,2000.0,36.0,5413.028901734104,2000.0,1397223.4283236994,36.0,529.6,3010.0,2000.0,11466156.0,18755.0,7.166666666666667,9.0,2000.0,7.5,4.166666666666667,0.16666666666666666,0.0,358.3333333333333,358.3333333333333,89166.66666666667,162430.83333333334,54.89515197,-3.72140115832283,19.4905310721105,3.57859921888914
Australia,2001.0,36.0,5413.025936599423,2001.0,1369629.5510086454,36.0,529.6,3010.0,2001.0,11599879.8,7663.555555555556,4.0,12.444444444444445,2001.111111111111,2.7777777777777777,12.777777777777779,0.6666666666666666,6.444444444444445,950.0,956.4444444444445,35733.333333333336,63304.666666666664,56.44657635,-2.1038782912626,19.4905310721105,2.82305214676613
Australia,2002.0,36.0,5413.025936599423,2002.0,1349901.2109510086,36.0,529.6,3010.0,2002.0,11733180.4,44.0,7.4,9.6,2002.0,9.2,9.2,0.4,0.8,24.0,74.6,410000.0,715010.2,57.34184015000001,-4.04312576822906,19.4905310721105,3.70306730541189
Australia,2003.0,36.0,5413.025936599423,2003.0,1252707.7760518733,36.0,529.6,3010.0,2003.0,11867176.0,12941.5,6.2,11.2,2003.0,6.3,13.7,0.6,15.0,501.0,519.0,47000.0,80145.1,58.64355298,-6.26582917008026,19.4905310721105,1.92099536209977
Australia,2004.0,36.0,5413.025936599423,2004.0,1297705.1569164265,36.0,529.6,3010.0,2004.0,12008356.6,187767.14285714287,7.142857142857143,12.714285714285714,2004.0,7.285714285714286,17.857142857142858,0.8571428571428571,0.0,609.2857142857143,609.2857142857143,16071.42857142857,26690.714285714286,60.21357973,-6.71703905379547,19.4905310721105,6.98071685334312
Australia,2005.0,36.0,5413.025936599423,2005.0,1305955.371239193,36.0,529.6,3010.0,2005.0,12165576.6,281.0,5.0,14.25,2005.0,5.25,13.0,4.0,5.0,1100.0,1105.0,35000.0,56219.0,62.25647853,-6.23018337430444,19.4905310721105,-3.60692792508377
Australia,2006.0,36.0,5413.025936599423,2006.0,1309464.3127377522,36.0,529.6,3010.0,2006.0,12350945.0,4986.875,5.625,10.0,2006.0,5.0,8.0,0.5,3.75,387.5,1283.875,160294.25,249427.625,64.26483222,-6.18497324085113,19.4905310721105,4.08209296205439
Australia,2007.0,36.0,5413.025936599423,2007.0,1240512.328962536,36.0,529.6,3010.0,2007.0,12571152.4,5827.5,4.5,5.0,2007.0,4.5,14.0,5.5,0.0,2865.0,2910.0,700000.0,1059032.0,66.09810297,-7.56503658273096,19.4905310721105,5.19771793687634
