Country,Year,Area Code (M49),Element Code,Year Code,Value
Croatia,2006,191.0,5409.34375,2006.0,70005.7310763889
Croatia,2007,191.0,5409.34375,2007.0,69873.05361111111
Croatia,2008,191.0,5409.35294117647,2008.0,73709.02366782007
Croatia,2009,191.0,5409.35294117647,2009.0,74444.42650519032
Croatia,2010,191.0,5411.402027027027,2010.0,70693.12300675675
Croatia,2011,191.0,5411.402027027027,2011.0,70964.7064864865
Croatia,2012,191.0,5411.4,2012.0,70142.2932881356
Croatia,2013,191.0,5411.06462585034,2013.0,71973.74367346939
Croatia,2014,191.0,5411.061433447099,2014.0,70246.7609556314
Croatia,2015,191.0,5411.06462585034,2015.0,66060.76744897959
Croatia,2016,191.0,5411.4,2016.0,73000.11722033897
Croatia,2017,191.0,5411.399317406143,2017.0,68312.54085324232
Croatia,2018,191.0,5406.903846153846,2018.0,78557.697
Croatia,2019,191.0,5408.068965517241,2019.0,79375.3927586207
Croatia,2020,191.0,5408.187969924812,2020.0,79172.45124060151
Croatia,2021,191.0,5406.655303030303,2021.0,79665.84250000001
Croatia,2022,191.0,5408.271062271062,2022.0,71723.58395604395
Croatia,2023,191.0,5395.908333333334,2023.0,70334.24416666667
France,2000,250.0,5411.78364116095,2000.0,1093714.0604221635
France,2001,250.0,5411.784210526316,2001.0,1056953.0524736843
France,2002,250.0,5411.780678851175,2002.0,1099436.0199477805
France,2003,250.0,5411.780678851175,2003.0,1034544.3742297649
France,2004,250.0,5411.780678851175,2004.0,1080034.242767624
France,2005,250.0,5411.780678851175,2005.0,1055157.3281723238
France,2006,250.0,5411.784776902887,2006.0,1032840.809816273
France,2007,250.0,5411.78125,2007.0,1025170.7574479167
France,2008,250.0,5411.780678851175,2008.0,1049878.304229765
France,2009,250.0,5411.780678851175,2009.0,1065522.156631854
France,2010,250.0,5412.036363636364,2010.0,1030248.7112727272
France,2011,250.0,5412.036363636364,2011.0,1042538.9026233766
France,2012,250.0,5412.036363636364,2012.0,1019013.3722597403
France,2013,250.0,5412.036363636364,2013.0,1014622.9522337663
France,2014,250.0,5411.524804177546,2014.0,1049631.4324020888
France,2015,250.0,5411.524804177546,2015.0,1041924.7444125327
France,2016,250.0,5411.267015706806,2016.0,992531.115078534
France,2017,250.0,5411.267015706806,2017.0,1059640.0721465969
France,2018,250.0,5409.2208201892745,2018.0,1213369.2047003154
France,2019,250.0,5409.445859872611,2019.0,1228284.0753503186
France,2020,250.0,5408.202531645569,2020.0,1139472.521107595
France,2021,250.0,5407.990595611285,2021.0,1183470.1038557994
France,2022,250.0,5407.618296529969,2022.0,1146999.0188958992
France,2023,250.0,5395.623188405797,2023.0,1142214.0992753622
Germany,2000,276.0,5412.852233676976,2000.0,1383304.7679381445
Germany,2001,276.0,5412.852233676976,2001.0,1385197.337766323
Germany,2002,276.0,5412.852233676976,2002.0,1365280.4140206187
Germany,2003,276.0,5412.852233676976,2003.0,1334046.382508591
Germany,2004,276.0,5412.852233676976,2004.0,1420456.6318556701
Germany,2005,276.0,5412.8493150684935,2005.0,1396262.8567123287
Germany,2006,276.0,5412.840677966102,2006.0,1365646.6348135592
Germany,2007,276.0,5412.840677966102,2007.0,1415979.8900677967
Germany,2008,276.0,5412.840677966102,2008.0,1457179.8422711864
Germany,2009,276.0,5412.840677966102,2009.0,1483555.2102033899
Germany,2010,276.0,5413.168918918919,2010.0,1466104.3059121622
Germany,2011,276.0,5413.168918918919,2011.0,1507844.557972973
Germany,2012,276.0,5413.168918918919,2012.0,1506562.2667905407
Germany,2013,276.0,5413.49494949495,2013.0,1486957.773131313
Germany,2014,276.0,5413.49494949495,2014.0,1552893.4053198653
Germany,2015,276.0,5413.818791946309,2015.0,1494895.3955033557
Germany,2016,276.0,5413.168918918919,2016.0,1508369.0618918918
Germany,2017,276.0,5413.168918918919,2017.0,1524924.519662162
Germany,2018,276.0,5414.083969465649,2018.0,1622116.3252290075
Germany,2019,276.0,5413.346153846154,2019.0,1643048.6636153846
Germany,2020,276.0,5407.633962264151,2020.0,1594228.636264151
Germany,2021,276.0,5410.42084942085,2021.0,1611188.482779923
Germany,2022,276.0,5410.042307692308,2022.0,1520978.9476538461
Germany,2023,276.0,5391.513157894737,2023.0,1484978.6894736842
India,2000,356.0,5412.151260504202,2000.0,5624865.896358543
India,2001,356.0,5412.151260504202,2001.0,5674958.984005602
India,2002,356.0,5412.151260504202,2002.0,5555794.108263305
India,2003,356.0,5412.151260504202,2003.0,5720837.562464986
India,2004,356.0,5412.151260504202,2004.0,5604895.350140056
India,2005,356.0,5412.151260504202,2005.0,5779550.9987114845
India,2006,356.0,5412.151260504202,2006.0,6085369.821568628
India,2007,356.0,5412.151260504202,2007.0,6575978.779747899
India,2008,356.0,5412.151260504202,2008.0,6665982.088347339
India,2009,356.0,5412.151260504202,2009.0,6442305.551708683
India,2010,356.0,5412.424581005586,2010.0,6758859.570670391
India,2011,356.0,5412.42339832869,2011.0,7100065.480334262
India,2012,356.0,5412.42339832869,2012.0,7256426.496963788
India,2013,356.0,5412.42339832869,2013.0,7453196.744986072
India,2014,356.0,5412.42339832869,2014.0,7667795.686350975
India,2015,356.0,5412.703910614525,2015.0,7777192.366117319
India,2016,356.0,5412.703910614525,2016.0,7942449.911396649
India,2017,356.0,5412.71186440678,2017.0,8204902.103418079
India,2018,356.0,5412.715909090909,2018.0,8662707.39875
India,2019,356.0,5412.715909090909,2019.0,8955685.030426137
India,2020,356.0,5412.715909090909,2020.0,9124433.411079545
India,2021,356.0,5412.715909090909,2021.0,9526062.931647727
India,2022,356.0,5412.715909090909,2022.0,9959608.524346592
India,2023,356.0,5403.320872274143,2023.0,10791728.744890966
Iran,2000,364.0,5409.6719160104985,2000.0,837489.5773490813
Iran,2001,364.0,5409.6719160104985,2001.0,838092.3580839895
Iran,2002,364.0,5409.6657894736845,2002.0,865334.9009473685
Iran,2003,364.0,5409.6719160104985,2003.0,846469.1205249344
Iran,2004,364.0,5409.6719160104985,2004.0,866762.6691601049
Iran,2005,364.0,5409.6719160104985,2005.0,896627.8170603674
Iran,2006,364.0,5409.65963060686,2006.0,864049.064353562
Iran,2007,364.0,5409.6657894736845,2007.0,857202.5851578948
Iran,2008,364.0,5409.6657894736845,2008.0,694227.2073947368
Iran,2009,364.0,5409.6719160104985,2009.0,677870.1711811024
Iran,2010,364.0,5409.934554973822,2010.0,712296.6506806283
Iran,2011,364.0,5409.929133858268,2011.0,677928.3823097113
Iran,2012,364.0,5409.929133858268,2012.0,691842.5104461942
Iran,2013,364.0,5409.934554973822,2013.0,699377.227617801
Iran,2014,364.0,5410.191099476439,2014.0,677192.5499214659
Iran,2015,364.0,5410.191099476439,2015.0,709278.599973822
Iran,2016,364.0,5410.191099476439,2016.0,711968.6178010472
Iran,2017,364.0,5410.191099476439,2017.0,666031.2708900523
Iran,2018,364.0,5410.191099476439,2018.0,635276.5313350785
Iran,2019,364.0,5410.191099476439,2019.0,635504.2882198953
Iran,2020,364.0,5410.191099476439,2020.0,686039.9564659686
Iran,2021,364.0,5409.929133858268,2021.0,759859.4199999999
Iran,2022,364.0,5410.191099476439,2022.0,765631.6054712043
Iran,2023,364.0,5401.991501416431,2023.0,783909.4994050992
Iraq,2000,368.0,5410.967391304348,2000.0,135922.09492753624
Iraq,2001,368.0,5410.963636363636,2001.0,136323.48956363637
Iraq,2002,368.0,5410.963636363636,2002.0,147885.25287272726
Iraq,2003,368.0,5410.959854014599,2003.0,142628.09375912408
Iraq,2004,368.0,5410.963636363636,2004.0,121715.55825454545
Iraq,2005,368.0,5410.963636363636,2005.0,126713.18392727272
Iraq,2006,368.0,5410.963636363636,2006.0,124553.36367272727
Iraq,2007,368.0,5410.963636363636,2007.0,137520.0570909091
Iraq,2008,368.0,5410.967391304348,2008.0,136706.80887681158
Iraq,2009,368.0,5410.967391304348,2009.0,144230.98996376814
Iraq,2010,368.0,5411.324909747293,2010.0,160066.7312274368
Iraq,2011,368.0,5411.324909747293,2011.0,165594.77198555958
Iraq,2012,368.0,5411.324909747293,2012.0,167934.17696750903
Iraq,2013,368.0,5411.325,2013.0,162098.10435714285
Iraq,2014,368.0,5411.325,2014.0,160161.4982142857
Iraq,2015,368.0,5411.325,2015.0,121870.09453571428
Iraq,2016,368.0,5411.325174825175,2016.0,123592.83562937063
Iraq,2017,368.0,5411.322807017544,2017.0,123929.7956491228
Iraq,2018,368.0,5411.320819112628,2018.0,117338.79395904437
Iraq,2019,368.0,5411.320819112628,2019.0,146005.62962457337
Iraq,2020,368.0,5411.320819112628,2020.0,159918.2376109215
Iraq,2021,368.0,5411.320819112628,2021.0,141965.68610921502
Iraq,2022,368.0,5410.982876712329,2022.0,132789.13558219178
Iraq,2023,368.0,5403.309963099631,2023.0,147520.67040590406
Israel,2000,376.0,5409.27950310559,2000.0,44914.70332298137
Israel,2001,376.0,5409.27950310559,2001.0,45418.36322981366
Israel,2002,376.0,5409.27950310559,2002.0,47442.07543478261
Israel,2003,376.0,5409.27950310559,2003.0,48417.974875776395
Israel,2004,376.0,5409.27950310559,2004.0,50698.656956521736
Israel,2005,376.0,5409.27950310559,2005.0,52602.01934782609
Israel,2006,376.0,5409.2625,2006.0,53314.30490625
Israel,2007,376.0,5409.27950310559,2007.0,53553.29782608695
Israel,2008,376.0,5409.27950310559,2008.0,53211.5702795031
Israel,2009,376.0,5409.27950310559,2009.0,53789.419192546586
Israel,2010,376.0,5409.27950310559,2010.0,54634.326863354036
Israel,2011,376.0,5409.27950310559,2011.0,57129.780031055896
